ID,Invernadero,Municipio,CP,IIBB,Area_Total,Propia,Area_Tomate,Variedades,Produccion_Total,Reduccion_Rendimiento,Reducion_Cantidad_Fertilizante,Reduccion_Costo_Mano_de_Obra,Reduccion_Tiempo,Reduccion_Costo_Maquinaria,Factores_Informacion,Factores_Vecinos,Factores_Impacto_Ambiental,Factores_Mayores_Ingresos,Factores_Menores_Costos,Factores_Mayores_Rendimientos,Factores_Control_Plagas,Factores_Mundo_Mejor,Afirmaciones_Convencional_Sostenible,Afrimaciones_Plaguicidas_Estabilidad_Economica,Afirmaciones_Altos_Rendimientos_Sin_Pesticidas,Afirmaciones_Pesticidas_No_Daninos,Afirmacion_Demanda_Fibras,Afirmacion_Ecologico_Economicamente_Arriesgada,Afirmacion_Control_Biologico_Sustituye_Pesticidas,Afirmacion_Me_Intereso_Tecnologia,UE_Directiva_Plaguicidas,UE_Granja_A_La_Mesa,UE_Biodiversidad,UE_Nitratos,UE_Aves,UE_Agua,Anos,Sexo,Hijos,Estudios,Educacion_Agricultura,Anos_agricultor,ubi_geocode,lat,lon,categoria_map,factor_joven,factor_neorrural,Origen
AGR_01,FALSE,Galorza,21291,3,Pequeño,FALSE,1040,2+,26000,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Importante,Muy Importante,Muy Importante,Poco Importante,Poco Importante,Poco Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,No Conozco,Util,Util,No Conozco,No Conozco,No Conozco,44,F,1,Universitario,No,13,"21291, Galorza",37.925442,-6.7126096,3,Joven,31,Neorrural
AGR_02,FALSE,Cuevas del Becerro,29470,0,Pequeño,TRUE,180,2+,340,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Muy Importante,Poco Importante,Importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,Util,Util,No Conozco,Util,Util,47,M,0,Universitario,Si,20,"29470, Cuevas del Becerro",36.8754742,-5.0455575,3,Experimentado,27,Rural
AGR_03,FALSE,Sanlucar La Mayor,41800,0,Mediano,TRUE,100,1,300,Aumenta,Ninguna Diferencia,Ns/Nc,Ns/Nc,Ns/Nc,Muy Importante,Importante,Poco Importante,Nada Importante,Poco Importante,Poco Importante,Importante,Importante,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,Util,Util,Util,Util,Util,Util,42,F,2,Universitario,Si,30,"41800, Sanlucar La Mayor",37.3870837,-6.2017649,4,Joven,12,Rural
AGR_04,FALSE,La Puebla del Rio,41130,2,Pequeño,FALSE,240,2+,2050,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,No Conozco,Util,Util,No Conozco,No Conozco,No Conozco,38,M,0,Universitario,Si,10,"41130, La Puebla del Rio",37.1196979,-6.089103199999999,3,Joven,28,Rural
AGR_05,TRUE,El Viso del Alcor,41520,6,Grande,TRUE,5000,2+,5100,Aumenta,Ninguna Diferencia,Disminuye,Ninguna Diferencia,Disminuye,Ns/Nc,Muy Importante,Muy Importante,Poco Importante,Poco Importante,Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,Util,Util,Util,No Conozco,No Conozco,Inutil,43,M,2,Universitario,Si,33,"41520, El Viso del Alcor",37.3886862,-5.721781099999999,4,Joven,10,Rural
AGR_06,FALSE,Arroyo de la Luz,10900,0,Micro,TRUE,15,1,14,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Nada Importante,Muy Importante,Muy Importante,Nada Importante,Poco Importante,Poco Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,Util,Util,Util,No Conozco,No Conozco,No Conozco,25,F,0,Universitario,Si,2,"10900, Arroyo de la Luz",39.4838702,-6.581008,2,Joven,23,Neorrural
AGR_07,FALSE,Santa Maria de Trassierra,14192,2,Pequeño,TRUE,39,2+,165,Ninguna Diferencia,Aumenta,Aumenta,Aumenta,Aumenta,Importante,Importante,Muy Importante,Importante,Importante,Importante,Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Util,Util,Util,No Conozco,No Conozco,No Conozco,41,F,2,Universitario,Si,15,"14192, Santa Maria de Trassierra",37.9273928,-4.8996775,3,Joven,26,Rural
AGR_08,FALSE,Villanueva del Ariscal,41808,1,Pequeño,FALSE,450,2,4000,Ns/Nc,Ns/Nc,Aumenta,Aumenta,Aumenta,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,No Conozco,Util,Util,No Conozco,Util,Util,54,M,2,Primario,Si,9,"41808, Villanueva del Ariscal",37.3952677,-6.1419402,2,Experimentado,45,Neorrural
AGR_09,TRUE,Lebrija,41740,3,Mediano,FALSE,3810,2+,12312,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Aumenta,Disminuye,Importante,Muy Importante,Importante,Importante,Importante,Poco Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,En Desacuerdo,Util,No Conozco,Util,No Conozco,No Conozco,No Conozco,59,M,3,Primario,No,50,"41740, Lebrija",36.9197889,-6.0758624,3,Experimentado,9,Rural
AGR_10,TRUE,Utrera,41710,3,Pequeño,TRUE,2000,1,1500,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Importante,Poco Importante,Poco Importante,Poco Importante,Poco Importante,Poco Importante,Importante,Muy Importante,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,No Conozco,Util,Util,No Conozco,Util,Inutil,44,M,0,Universitario,No,8,"41710, Utrera",37.1848134,-5.7795147,2,Joven,36,Neorrural
AGR_11,FALSE,Sevilla,41015,0,Micro,FALSE,14,1,250,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Poco Importante,Poco Importante,Muy Importante,Poco Importante,Poco Importante,Poco Importante,Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,Ns/Nc,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,Util,Util,Util,No Conozco,No Conozco,71,M,2,Universitario,No,60,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,11,Rural
AGR_12,FALSE,Sevilla,41015,0,Micro,FALSE,32,2+,60,Disminuye,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Muy Importante,Muy Importante,Importante,Nada Importante,Nada Importante,Poco Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,No Conozco,Util,Util,Util,No Conozco,Inutil,75,F,1,Secundario,No,9,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,66,Neorrural
AGR_13,FALSE,Sevilla,41130,4,Mediano,FALSE,1575,1,4125,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Aumenta,Ninguna Diferencia,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Util,Util,Util,Util,Util,Util,49,M,0,Secundario,No,20,"41130, Sevilla",37.1196979,-6.089103199999999,3,Experimentado,29,Rural
AGR_14,FALSE,Cortelazor,21208,0,Micro,TRUE,60,1,350,Aumenta,Disminuye,Ninguna Diferencia,Disminuye,Disminuye,Poco Importante,Importante,Muy Importante,Poco Importante,Poco Importante,Importante,Importante,Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,Ns/Nc,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,48,M,1,Secundario,No,10,"21208, Cortelazor",37.93594239999999,-6.625235399999999,1,Experimentado,38,Neorrural
AGR_15,FALSE,Gines,41960,0,Micro,FALSE,9,1,196,Aumenta,Ns/Nc,Aumenta,Ns/Nc,Ns/Nc,Muy Importante,Muy Importante,Poco Importante,Nada Importante,Importante,Muy Importante,Importante,Nada Importante,De Acuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Inutil,No Conozco,Inutil,No Conozco,No Conozco,Inutil,27,F,0,Universitario,No,1,"41960, Gines",37.3843039,-6.0758624,1,Joven,26,Neorrural
AGR_16,FALSE,Sevilla,41015,0,Micro,FALSE,5,1,70,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,En Desacuerdo,No Conozco,No Conozco,Util,No Conozco,Util,Util,82,F,3,Secundario,No,9,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,73,Neorrural
AGR_17,FALSE,Sevilla,41015,0,Micro,FALSE,15,1,40,Ninguna Diferencia,Ninguna Diferencia,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,Ns/Nc,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,77,F,1,Universitario,No,12,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,65,Neorrural
AGR_18,FALSE,Almocita,04458,2,Mediano,TRUE,3000,2+,2600,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,Inutil,Inutil,Inutil,No Conozco,No Conozco,No Conozco,62,M,3,Primario,No,48,"04458, Almocita",37.003002,-2.7901189,3,Experimentado,14,Rural
AGR_19,FALSE,Alhaurin de la Torre,29130,0,Micro,TRUE,80,2+,800,Aumenta,Ninguna Diferencia,Disminuye,Aumenta,Aumenta,Importante,Importante,Muy Importante,Poco Importante,Poco Importante,Importante,Importante,Muy Importante,En Desacuerdo,En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,Util,Util,Util,Util,Util,Util,50,F,3,Universitario,Si,10,"29130, Alhaurin de la Torre",36.6598945,-4.5598636,2,Experimentado,40,Neorrural
AGR_20,FALSE,Jerez de la Frontera,11407,9,Micro,FALSE,36,2+,100,Disminuye,Ninguna Diferencia,Disminuye,Aumenta,Disminuye,Importante,Nada Importante,Importante,Nada Importante,Nada Importante,Nada Importante,Poco Importante,Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Util,Util,Util,Util,Util,Util,38,F,2,Universitario,Si,3,"11407, Jerez de la Frontera",36.7047853,-6.1367935,1,Joven,35,Neorrural
AGR_21,FALSE,Berchules,18451,4,Pequeño,TRUE,11000,2,90000,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Ninguna Diferencia,Disminuye,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,33,M,0,Universitario,Si,20,"18451, Berchules",36.9751577,-3.1911469,2,Joven,13,Rural
AGR_22,TRUE,Nijar,04100,6,Mediano,TRUE,240000,1,2400000,Aumenta,Aumenta,Aumenta,Aumenta,Disminuye,Muy Importante,Muy Importante,Importante,Importante,Importante,Importante,Importante,Muy Importante,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Inutil,Inutil,Inutil,Inutil,Inutil,Inutil,53,M,3,Secundario,No,45,"04100, Nijar",36.9559467,-2.1646722,4,Experimentado,8,Rural
AGR_23,FALSE,Sevilla,41015,0,Micro,FALSE,20,2,320,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Disminuye,Poco Importante,Muy Importante,Muy Importante,Nada Importante,Nada Importante,Nada Importante,Importante,Muy Importante,En Desacuerdo,En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,En Desacuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,58,F,0,Secundario,No,2,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,56,Neorrural
AGR_24,FALSE,Sevilla,41015,0,Micro,FALSE,40,1,360,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Importante,Importante,Importante,Poco Importante,Poco Importante,Poco Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,54,M,2,Secundario,No,12,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,42,Neorrural
AGR_25,FALSE,Gines,41960,0,Micro,FALSE,40,1,200,Aumenta,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,Ns/Nc,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,69,M,0,Primario,No,7,"41960, Gines",37.3843039,-6.0758624,1,Experimentado,62,Neorrural
AGR_26,FALSE,Bormujos,41930,1,Micro,TRUE,120,2+,520,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Importante,Importante,Muy Importante,Nada Importante,Nada Importante,Nada Importante,Poco Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,64,M,2,Primario,No,7,"41930, Bormujos",37.3722503,-6.0701344,1,Experimentado,57,Neorrural
