ID,Invernadero,Municipio,CP,IIBB,Area_Total,Propia,Area_Tomate,Variedades,Produccion_Total,Reduccion_Rendimiento,Reducion_Cantidad_Fertilizante,Reduccion_Costo_Mano_de_Obra,Reduccion_Tiempo,Reduccion_Costo_Maquinaria,Factores_Informacion,Factores_Vecinos,Factores_Impacto_Ambiental,Factores_Mayores_Ingresos,Factores_Menores_Costos,Factores_Mayores_Rendimientos,Factores_Control_Plagas,Factores_Mundo_Mejor,Afirmaciones_Convencional_Sostenible,Afrimaciones_Plaguicidas_Estabilidad_Economica,Afirmaciones_Altos_Rendimientos_Sin_Pesticidas,Afirmaciones_Pesticidas_No_Daninos,Afirmacion_Demanda_Fibras,Afirmacion_Ecologico_Economicamente_Arriesgada,Afirmacion_Control_Biologico_Sustituye_Pesticidas,Afirmacion_Me_Intereso_Tecnologia,UE_Directiva_Plaguicidas,UE_Granja_A_La_Mesa,UE_Biodiversidad,UE_Nitratos,UE_Aves,UE_Agua,Anos,Sexo,Hijos,Estudios,Educacion_Agricultura,Anos_agricultor,ubi_geocode,lat,lon,categoria_map
AGR_28,FALSE,Gines,41960,0,50,FALSE,10,1,30,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Importante,Importante,Importante,Nada Importante,Nada Importante,Nada Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,48,M,0,Universitario,No,5,"41960, Gines",37.3843039,-6.0758624,1
AGR_29,FALSE,Gines,41960,0,100,FALSE,50,2,480,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Importante,Importante,Importante,Poco Importante,Poco Importante,Poco Importante,Importante,Muy Importante,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,Ns/Nc,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,64,M,2,Secundario,No,7,"41960, Gines",37.3843039,-6.0758624,1
AGR_30,TRUE,Velez-Malaga,29700,5,16000,TRUE,1400,1,7000,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Muy Importante,Muy Importante,Muy Importante,Importante,Importante,Importante,Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Util,No Conozco,No Conozco,Util,No Conozco,Inutil,43,M,0,Universitario,Si,13,"29700, Velez-Malaga",36.7691911,-4.1060031,2
AGR_31,FALSE,Segura de la Sierra,23379,0,20000,TRUE,150,2,400,Disminuye,Aumenta,Aumenta,Aumenta,Aumenta,Muy Importante,Muy Importante,Muy Importante,Importante,Muy Importante,Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,Util,No Conozco,Util,No Conozco,Util,Inutil,50,F,2,Secundario,No,35,"23379, Segura de la Sierra",38.2766905,-2.6288523,3
AGR_32,FALSE,Sevilla,41015,0,100,FALSE,20,1,180,Disminuye,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Importante,Importante,Importante,Nada Importante,Nada Importante,Nada Importante,Importante,Muy Importante,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,63,M,0,Primario,No,50,"41015, Sevilla",37.439299,-5.9885456,1
AGR_33,TRUE,Finana,04500,4,15000,TRUE,15000,1,105000,Disminuye,Disminuye,Disminuye,Aumenta,Aumenta,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Importante,Muy Importante,Importante,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,Inutil,Inutil,Inutil,Inutil,Inutil,Inutil,31,M,1,Universitario,Si,12,"04500, Finana",37.1709472,-2.8415046,2
AGR_34,FALSE,Lanjaron,18420,3,70000,TRUE,900,3,41050,Ns/Nc,Ns/Nc,Aumenta,Ns/Nc,Ns/Nc,Muy Importante,Ns/Nc,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,Ns/Nc,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,Inutil,Util,No Conozco,No Conozco,No Conozco,48,M,1,Secundario,No,35,"18420, Lanjaron",36.9187716,-3.4795035,4
AGR_35,TRUE,Finana,04500,1,15000,TRUE,15000,1,120000,Disminuye,Disminuye,Disminuye,Aumenta,Aumenta,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Importante,Muy Importante,Importante,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,Inutil,Inutil,Inutil,Inutil,Inutil,Inutil,31,M,1,Universitario,Si,12,"04500, Finana",37.1709472,-2.8415046,2
AGR_36,TRUE,Pechina,04520,8,30000,TRUE,30000,1,120000,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Importante,Muy Importante,Importante,Importante,Importante,Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,No Conozco,Util,Util,No Conozco,No Conozco,No Conozco,69,M,3,Primario,No,40,"04520, Pechina",36.9163957,-2.4403012,3
AGR_37,TRUE,Albunol,18700,3,3500,TRUE,3500,1,30000,Disminuye,Disminuye,Ninguna Diferencia,Aumenta,Ninguna Diferencia,Muy Importante,Muy Importante,Ns/Nc,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Ns/Nc,De Acuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,En Desacuerdo,De Acuerdo,De Acuerdo,Ns/Nc,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,38,F,2,Primario,No,15,"18700, Albunol",36.7921634,-3.2024477,2
AGR_38,TRUE,Almeria,04120,6,60000,TRUE,60000,1,30000,Disminuye,Ninguna Diferencia,Disminuye,Aumenta,Disminuye,Muy Importante,Muy Importante,Muy Importante,Poco Importante,Muy Importante,Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Util,Inutil,No Conozco,No Conozco,Inutil,Util,39,M,0,Primario,No,23,"04120, Almeria",36.8544828,-2.4109908,4
AGR_39,TRUE,Lujar,18614,5,15000,TRUE,12500,1,100000,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Aumenta,Ninguna Diferencia,Importante,Importante,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,En Desacuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,Util,Util,Util,No Conozco,Util,Util,52,F,1,Universitario,Si,14,"18614, Lujar",36.7876079,-3.403473,2
AGR_40,FALSE,Busquistar,18416,8,60000,FALSE,60000,3,288000,Disminuye,Disminuye,Aumenta,Aumenta,Ninguna Diferencia,Muy Importante,Importante,Muy Importante,Importante,Importante,Poco Importante,Importante,Importante,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Util,Inutil,Util,No Conozco,No Conozco,Util,50,M,3,Primario,Si,30,"18416, Busquistar",36.9377887,-3.2945214,4
AGR_41,TRUE,Chipiona,11540,1,12000,TRUE,900,3,3300,Disminuye,Aumenta,Disminuye,Disminuye,Ninguna Diferencia,Muy Importante,Poco Importante,Importante,Importante,Importante,Muy Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,39,M,1,Secundario,No,20,"11540, Chipiona",36.7348614,-6.431699000000001,2
AGR_42,TRUE,Gualchos,18730,4,7000,TRUE,7000,1,63000,Aumenta,Disminuye,Aumenta,Aumenta,Disminuye,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,39,M,2,Secundario,No,16,"18730, Gualchos",36.7439354,-3.3899197,2
AGR_43,FALSE,Trevelez,18417,3,3000,TRUE,3000,1,18000,Aumenta,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Ninguna Diferencia,Muy Importante,Muy Importante,Muy Importante,Importante,Importante,Muy Importante,Muy Importante,Muy Importante,De Acuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,No Conozco,No Conozco,Util,No Conozco,No Conozco,No Conozco,43,F,3,Primario,Si,20,"18417, Trevelez",37.0012828,-3.2665353,2
AGR_44,TRUE,Guaro,29108,1,40000,TRUE,10000,2,200000,Aumenta,Disminuye,Aumenta,Disminuye,Disminuye,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,Util,Util,Util,Util,Util,Util,41,F,2,Primario,Si,10,"29108, Guaro",36.673016,-4.8416936,4
AGR_45,TRUE,Sorvilan,18750,9,20000,TRUE,20000,1,380000,Aumenta,Disminuye,Disminuye,Aumenta,Ninguna Diferencia,Muy Importante,Poco Importante,Muy Importante,Importante,Importante,Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,Util,Util,Util,Util,Util,Util,39,M,2,Universitario,Si,17,"18750, Sorvilan",36.7947887,-3.2668497,3
AGR_46,FALSE,Tijola,04880,0,2000,FALSE,510,2,4500,Aumenta,Ns/Nc,Disminuye,Disminuye,Disminuye,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,Util,Util,Util,Util,Util,Util,40,M,2,Universitario,Si,10,"04880, Tijola",37.3457002,-2.4369316,2
AGR_47,FALSE,Trevelez,18417,5,20000,TRUE,5000,1,22500,Ns/Nc,Aumenta,Ninguna Diferencia,Ns/Nc,Ns/Nc,Importante,Poco Importante,Ns/Nc,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,De Acuerdo,Ns/Nc,"Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,Ns/Nc,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,No Conozco,Inutil,Inutil,No Conozco,No Conozco,No Conozco,42,M,1,Primario,Si,8,"18417, Trevelez",37.0012828,-3.2665353,3
AGR_48,FALSE,Calera de Leon,06290,0,16000,TRUE,200,1,1000,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Importante,Importante,Importante,Ns/Nc,Ns/Nc,Ns/Nc,Importante,Importante,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,Util,Util,Util,Util,Util,Util,54,M,0,Primario,No,14,"06290, Calera de Leon",38.1070754,-6.3365657,2
AGR_49,FALSE,Ronda,29400,0,100,FALSE,55,1,650,Aumenta,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Importante,Importante,Importante,Poco Importante,Importante,Importante,Importante,Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,55,M,0,Secundario,Si,23,"29400, Ronda",36.746209,-5.161225099999999,1
AGR_50,FALSE,Ronda,29400,0,100,FALSE,50,1,250,Aumenta,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Muy Importante,Muy Importante,Muy Importante,Poco Importante,Importante,Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Util,Util,Util,No Conozco,No Conozco,Util,51,M,2,Primario,No,6,"29400, Ronda",36.746209,-5.161225099999999,1
AGR_51,TRUE,Lujar,18614,5,15000,TRUE,15000,1,75000,Aumenta,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Ninguna Diferencia,Muy Importante,Importante,Importante,Poco Importante,Nada Importante,Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,No Conozco,Inutil,No Conozco,No Conozco,No Conozco,No Conozco,40,M,0,Primario,No,22,"18614, Lujar",36.7876079,-3.403473,2
AGR_52,TRUE,Tietar,10319,5,90000,TRUE,6000,4,44000,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Aumenta,Aumenta,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Util,Util,Util,Util,Util,Util,42,M,1,Secundario,Si,10,"10319, Tietar",40.0299551,-5.481713399999999,4
AGR_53,FALSE,Ronda,29490,0,40,FALSE,24,3,250,Ns/Nc,Ns/Nc,Aumenta,Aumenta,Ninguna Diferencia,Muy Importante,Muy Importante,Muy Importante,Importante,Importante,Importante,Muy Importante,Importante,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,No Conozco,No Conozco,Inutil,No Conozco,Util,Util,63,M,0,Secundario,Si,7,"29490, Ronda",36.746209,-5.161225099999999,1
AGR_54,FALSE,Castilblanco de los Arroyos,41230,0,200000,TRUE,30,1,170,Aumenta,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Ns/Nc,Muy Importante,Ns/Nc,Muy Importante,Ns/Nc,Poco Importante,Ns/Nc,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,Ns/Nc,Util,No Conozco,Util,No Conozco,No Conozco,No Conozco,60,F,0,Universitario,No,10,"41230, Castilblanco de los Arroyos",37.6741826,-5.989867599999999,4
AGR_55,FALSE,Ronda,29490,0,100,FALSE,30,1,240,Ns/Nc,Ns/Nc,Aumenta,Aumenta,Ninguna Diferencia,Muy Importante,Muy Importante,Muy Importante,Importante,Importante,Importante,Muy Importante,Importante,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,No Conozco,No Conozco,Inutil,No Conozco,Util,Util,63,F,0,Primario,Si,7,"29490, Ronda",36.746209,-5.161225099999999,1
